"transmitter_id","transmitter_deployment_id","measurement_type","measurement_value","measurement_unit","comments"
"A69-9002-1458;A69-9002-1459",274372214,"FORK LENGTH",246,"cm",NA
"A69-9002-1458;A69-9002-1459",274372214,"TOTAL LENGTH",320,"cm",NA
"A69-9002-1438;A69-9002-1439",274372294,"TOTAL LENGTH",128,"cm",NA
"A69-9002-1438;A69-9002-1439",274372294,"FORK LENGTH",109,"cm",NA
"A69-9001-61040",284078634,"FORK LENGTH",260,"cm",NA
"A69-9001-61040",284078634,"TOTAL LENGTH",302,"cm",NA
"A69-9001-31938",274372347,"TOTAL LENGTH",189,"cm",NA
"A69-9001-31938",274372347,"FORK LENGTH",150,"cm",NA
"A69-9001-29697",132818052,"TOTAL LENGTH",204,"cm",NA
"A69-9001-20470",130722678,"TOTAL LENGTH",187,"cm",NA
"A69-9001-20469",132818164,"TOTAL LENGTH",292,"cm",NA
"A69-9001-20468",132818157,"TOTAL LENGTH",295,"cm",NA
"A69-9001-20467",137965400,"TOTAL LENGTH",280,"cm",NA
"A69-9001-20466",137965407,"TOTAL LENGTH",274,"cm",NA
"A69-9001-20464",130722666,"TOTAL LENGTH",152,"cm",NA
"A69-9001-20463",137965307,"TOTAL LENGTH",249,"cm",NA
"A69-9001-20462",130722660,"TOTAL LENGTH",176,"cm",NA
"A69-9001-20461",137965374,"TOTAL LENGTH",273,"cm",NA
"A69-9001-20460",130722672,"TOTAL LENGTH",169,"cm",NA
"A69-9001-18830",204016890,"TOTAL LENGTH",276,"cm",NA
"A69-9001-18828",132846780,"TOTAL LENGTH",270,"cm",NA
"A69-9001-18826",132818150,"TOTAL LENGTH",270,"cm",NA
"A69-9001-18824",132908278,"TOTAL LENGTH",292,"cm",NA
"A69-9001-18822",132908299,"TOTAL LENGTH",292,"cm",NA
"A69-9001-18763",132927308,"TOTAL LENGTH",270,"cm",NA
"A69-9001-18762",132908292,"TOTAL LENGTH",255,"cm",NA
"A69-9001-18756",132908271,"TOTAL LENGTH",291,"cm",NA
"A69-9001-18754",132908260,"TOTAL LENGTH",285,"cm",NA
"A69-9001-18752",132908306,"TOTAL LENGTH",249,"cm",NA
"A69-9001-18750",132894930,"TOTAL LENGTH",265,"cm",NA
"A69-9001-12020",138610044,"TOTAL LENGTH",207,"cm",NA
"A69-9001-12019",203750972,"TOTAL LENGTH",255,"cm",NA
"A69-9001-12017",203774331,"TOTAL LENGTH",250,"cm",NA
"A69-9001-12015",203732757,"TOTAL LENGTH",284,"cm",NA
"A69-9001-11997",203659979,"TOTAL LENGTH",230,"cm",NA
"A69-9001-11993",203770124,"TOTAL LENGTH",309,"cm",NA
"A69-9001-11991",203961984,"TOTAL LENGTH",251,"cm",NA
"A69-9001-11990",203815658,"TOTAL LENGTH",286,"cm",NA
"A69-9001-11989",203741317,"TOTAL LENGTH",264,"cm",NA
"A69-9001-11988",203864643,"TOTAL LENGTH",241,"cm",NA
"A69-9001-11987",203925710,"TOTAL LENGTH",207,"cm",NA
"A69-9001-11986",203951089,"TOTAL LENGTH",255,"cm",NA
"A69-9001-11985",203987862,"TOTAL LENGTH",285,"cm",NA
"A69-9001-11984",204057030,"TOTAL LENGTH",287,"cm",NA
"A69-9001-11983",204036700,"TOTAL LENGTH",252,"cm",NA
"A69-9001-11982",204099345,"TOTAL LENGTH",281,"cm",NA
"A69-9001-11981",271985221,"TOTAL LENGTH",297,"cm",NA
"A69-9001-11981",271985221,"FORK LENGTH",240,"cm",NA
"A69-9001-11980",271985212,"FORK LENGTH",227,"cm",NA
"A69-9001-11980",271985212,"TOTAL LENGTH",290,"cm",NA
"A69-9001-11979",271985203,"FORK LENGTH",203,"cm",NA
"A69-9001-11979",271985203,"TOTAL LENGTH",237,"cm",NA
"A69-1303-64936",274372301,"FORK LENGTH",79,"cm",NA
"A69-1303-64936",274372301,"TOTAL LENGTH",101,"cm",NA
"A69-1303-64931",274372280,"TOTAL LENGTH",80,"cm",NA
"A69-1303-64931",274372280,"FORK LENGTH",64,"cm",NA
"A69-1303-64927",274372221,"FORK LENGTH",119,"cm",NA
"A69-1303-64927",274372221,"TOTAL LENGTH",144,"cm",NA
